sku,store,attribute_set,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting, weight ,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
SP2/R,default,Grouper,SP2 /R,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F15T8,,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/T,default,Grouper,SP2 /T,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/U,default,Grouper,SP2 /U,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F15T8,,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/V,default,Grouper,SP2 /V,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/W,default,Grouper,SP2 /W,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/X,default,Grouper,SP2 /X,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/Y,default,Grouper,SP2 /Y,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2/Z,default,Grouper,SP2 /Z,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AA,default,Grouper,SP2 AA,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F18T8,,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AB,default,Grouper,SP2 AB,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AC,default,Grouper,SP2 AC,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F15T8,,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AD,default,Grouper,SP2 AD,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F20T12,,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AE,default,Grouper,SP2 AE,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AF,default,Grouper,SP2 AF,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AG,default,Grouper,SP2 AG,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AH,default,Grouper,SP2 AH,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AJ,default,Grouper,SP2 AJ,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AK,default,Grouper,SP2 AK,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F20T12,,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AL,default,Grouper,SP2 AL,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AP,default,Grouper,SP2 AP,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP2 AQ,default,Grouper,SP2 AQ,SP2,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,"F15T8, F15T12, F20T12",,,,SP2 AM,SP2           ,Magnetic,Ongoing,Active,P10129,Leaded,,,,
SP204S/A,default,Grouper,SP204S /A,SP204S,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F4T5,,,,,,,,,,,,,,
SP2056/A,default,Grouper,SP2056 /A,SP2056,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50-60,0.00, $ -   ,,,Preheat ,,,1,  1 , T12 , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F20T12,,,,,,,,,,,,,2X,
SP2056/B,default,Grouper,SP2056 /B,SP2056,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50-60,0.00, $ -   ,,,,,,1,  1 , T12 ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  999.99 ,,,,,F20T12,,,,,,,,,,,,,,
