sku,attribute_set,store,,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
HPSS2060426/A,Grouper,default,,HPSS2060426 /A,HPSS2060426,NA,simple,4, Both ,,,,,, ,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
IS196CCPL/A,Grouper,default,,IS196CCPL /A,IS196CCPL,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Instant ,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
IS280TP/A,Grouper,default,,IS280TP /A,IS280TP,NA,simple,4, Both ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Leads both ends,Instant ,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,High,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,80W-U,,,,,,,,,,,,,,
M04827P-A,Grouper,default,,M04827P-A,M04827P-A,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,DK,0.00, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1PFM13/A,Grouper,default,,M1PFM13 /A,M1PFM13,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
M1PFM18/A,Grouper,default,,M1PFM18 /A,M1PFM18,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
M1PFM21327/A,Grouper,default,,M1PFM21327 /A,M1PFM21327,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,277,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
M1PFM268/A,Grouper,default,,M1PFM268 /A,M1PFM268,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
M1PFM28/A,Grouper,default,,M1PFM28 /A,M1PFM28,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
M1PFM68/A,Grouper,default,,M1PFM68 /A,M1PFM68,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
